imageId,label,termId,x,y,note
gray111_vertebral_column_plate,1,cervical_vertebra,0.3812,0.1318,頸椎
gray111_vertebral_column_plate,2,thoracic_vertebra,0.6447,0.4077,胸椎
gray111_vertebral_column_plate,3,lumbar_vertebra,0.4435,0.7441,腰椎
gray111_vertebral_column_plate,4,sacrum,0.6316,0.8793,仙骨
gray111_vertebral_column_plate,5,coccyx,0.601,0.9932,尾骨
gray193_ear_plate,1,frontal_bone,0.3506,0.1592,前頭骨
gray193_ear_plate,2,ethmoid_bone,0.0855,0.1804,篩骨
gray193_ear_plate,3,sphenoid_bone,0.1698,0.3848,蝶形骨
gray193_ear_plate,4,temporal_bone,0.6891,0.4696,側頭骨
gray193_ear_plate,5,parietal_bone,0.8216,0.6827,頭頂骨
gray193_ear_plate,6,occipital_bone,0.2136,0.7699,後頭骨
gray190_skull_anterior_plate,1,frontal_bone,0.3451,0.2552,前頭骨
gray190_skull_anterior_plate,2,nasal_bone,0.3571,0.4929,鼻骨
gray190_skull_anterior_plate,3,maxilla,0.3549,0.7167,上顎骨
gray190_skull_anterior_plate,4,zygomatic_bone,0.5725,0.5672,頬骨
gray190_skull_anterior_plate,5,sphenoid_bone,0.2116,0.4886,蝶形骨
gray190_skull_anterior_plate,6,lacrimal_bone,0.286,0.5077,涙骨
gray190_skull_anterior_plate,7,parietal_bone,0.0465,0.2245,頭頂骨
gray190_skull_anterior_plate,8,temporal_bone,0.0498,0.4133,側頭骨
gray190_skull_anterior_plate,9,sphenoid_bone,0.0924,0.4059,蝶形骨
gray190_skull_anterior_plate,10,mandible,0.3549,0.9183,下顎骨
gray188_temporal_bone_plate,1,frontal_bone,0.3604,0.2191,前頭骨
gray188_temporal_bone_plate,2,parietal_bone,0.6863,0.2716,頭頂骨
gray188_temporal_bone_plate,3,occipital_bone,0.7891,0.6126,後頭骨
gray188_temporal_bone_plate,4,temporal_bone,0.578,0.5062,側頭骨
gray188_temporal_bone_plate,5,sphenoid_bone,0.4107,0.4436,蝶形骨
gray188_temporal_bone_plate,6,zygomatic_bone,0.3308,0.5485,頬骨
gray188_temporal_bone_plate,7,ethmoid_bone,0.3122,0.4552,篩骨
gray188_temporal_bone_plate,8,lacrimal_bone,0.286,0.4669,涙骨
gray188_temporal_bone_plate,9,maxilla,0.2587,0.5966,上顎骨
gray188_temporal_bone_plate,10,nasal_bone,0.2204,0.4319,鼻骨
gray188_temporal_bone_plate,12,mandible,0.3844,0.8079,下顎骨
gray113_thorax_posterior_plate,1,rib,0.8077,0.2624,肋骨
gray113_thorax_posterior_plate,2,thoracic_vertebra,0.4938,0.3226,胸椎
gray112_thorax_anterior_plate,1,sternum,0.4993,0.3143,胸骨
gray112_thorax_anterior_plate,2,rib,0.1548,0.3159,肋骨
gray112_thorax_anterior_plate,3,thoracic_vertebra,0.4927,0.6801,胸椎
gray219_hand_palmar_plate,1,pisiform,0.3403,0.1229,豆状骨
gray219_hand_palmar_plate,2,triquetral_bone,0.3907,0.0887,三角骨
gray219_hand_palmar_plate,3,lunate_bone,0.4508,0.0398,月状骨
gray219_hand_palmar_plate,4,scaphoid_bone,0.5767,0.0535,舟状骨
gray219_hand_palmar_plate,5,trapezium_bone,0.6566,0.1503,大菱形骨
gray219_hand_palmar_plate,6,trapezoid_bone,0.5657,0.1777,小菱形骨
gray219_hand_palmar_plate,7,capitate_bone,0.4935,0.1555,有頭骨
gray219_hand_palmar_plate,8,hamate_bone,0.4169,0.1392,有鈎骨
gray219_hand_palmar_plate,9,metacarpal_bone,0.5964,0.3567,中手骨
gray219_hand_palmar_plate,10,proximal_phalanx,0.6161,0.6419,基節骨
gray219_hand_palmar_plate,11,middle_phalanx,0.6183,0.8029,中節骨
gray219_hand_palmar_plate,12,distal_phalanx,0.6248,0.9176,末節骨
gray213_lower_limb_plate,1,ulna,0.383,0.4628,尺骨
