id,japanese,english,latin,category,region,testSet,explanation
scapula,肩甲骨,scapula,scapula,bone,upper limb,basic_upper|osteology_basic,肩甲骨は肩の後面にある平たい骨で、上腕骨や鎖骨と関節を作ります。
clavicle,鎖骨,clavicle,clavicula,bone,upper limb,basic_upper|osteology_basic,鎖骨は胸骨と肩甲骨をつなぎ、上肢帯を体幹に連結します。
humerus,上腕骨,humerus,humerus,bone,upper limb,basic_upper|osteology_basic,上腕骨は肩から肘までを構成する長骨です。
radius,橈骨,radius,radius,bone,upper limb,basic_upper|osteology_basic,橈骨は前腕の母指側にある骨で、回内回外運動に関わります。
ulna,尺骨,ulna,ulna,bone,upper limb,basic_upper|osteology_basic,尺骨は前腕の小指側にある骨で、肘関節の形成に重要です。
sternum,胸骨,sternum,sternum,bone,trunk,basic_trunk|osteology_basic,胸骨は胸郭前面の中央にある骨で、肋軟骨を介して肋骨とつながります。
rib,肋骨,rib,costa,bone,trunk,basic_trunk|osteology_basic,肋骨は胸郭を構成し、心臓や肺を保護します。
atlas,環椎,atlas,atlas,bone,spine,osteology_basic,環椎は第1頸椎で、頭蓋骨を支える輪状の椎骨です。
axis,軸椎,axis,axis,bone,spine,osteology_basic,軸椎は第2頸椎で、歯突起を介して頭部の回旋に関わります。
vertebra,椎骨,vertebra,vertebra,bone,spine,osteology_basic,椎骨は脊柱を構成する骨で、椎孔を通して脊髄を保護します。
lumbar_vertebra,腰椎,lumbar vertebra,vertebra lumbalis,bone,spine,osteology_basic,腰椎は腰部の脊柱を構成する大きな椎骨で、体重支持に関わります。
thoracic_vertebra,胸椎,thoracic vertebra,vertebra thoracica,bone,thorax,osteology_basic,胸椎は胸郭を構成する椎骨で、肋骨と関節する。
cervical_vertebra,頸椎,cervical vertebra,vertebra cervicalis,bone,neck,osteology_basic,頸椎は頸部の椎骨で、通常7個存在する。
mandible,下顎骨,mandible,mandibula,bone,head and neck,basic_head|osteology_basic,下顎骨は顔面頭蓋で唯一大きく可動する骨です。
maxilla,上顎骨,maxilla,maxilla,bone,head and neck,basic_head|osteology_basic,上顎骨は上歯列や眼窩底、鼻腔外側壁の一部を作ります。
temporal_bone,側頭骨,temporal bone,os temporale,bone,head and neck,basic_head|osteology_basic,側頭骨は頭蓋側面にあり、外耳道や顎関節窩を含みます。
femur,大腿骨,femur,femur,bone,lower limb,basic_lower|osteology_basic,大腿骨は人体で最も長い骨で、股関節と膝関節を構成します。
tibia,脛骨,tibia,tibia,bone,lower limb,basic_lower|osteology_basic,脛骨は下腿内側の太い骨で、体重支持に大きく関わります。
fibula,腓骨,fibula,fibula,bone,lower limb,basic_lower|osteology_basic,腓骨は下腿外側の細い骨で、足関節外果を形成します。
hip_bone,寛骨,hip bone,os coxae,bone,pelvis,osteology_basic,寛骨は腸骨・坐骨・恥骨が癒合した骨で、骨盤の側壁を作ります。
pelvis,骨盤,pelvis,pelvis,bone,pelvis,osteology_basic,骨盤は左右の寛骨、仙骨、尾骨からなる骨性の輪です。
patella,膝蓋骨,patella,patella,bone,knee,basic_lower|osteology_basic,膝蓋骨は膝関節前面に位置する種子骨で、大腿四頭筋腱内に存在する。
sacrum,仙骨,sacrum,os sacrum,bone,pelvis,osteology_basic,仙骨は骨盤後壁を構成する骨で、複数の仙椎が癒合して形成される。
